name	ERR13827976	ERR13827977	ERR13827978	ERR13827979	ERR13827980	ERR13827981	ERR13827982	ERR13827983	ERR13827984	ERR13827985	ERR13827986	ERR13827987	ERR13827988	ERR13827989	ERR13827990	ERR13827991	ERR13827992	ERR13827993	ERR13827994	ERR13827995	ERR13827996	ERR13827997	ERR13827998	ERR13827999	ERR13828000	ERR13828001	ERR13828002	ERR13828003	ERR13828004	ERR13828005	ERR13828006	ERR13828007	ERR13828008	ERR13828009	ERR13828010	ERR13828011	ERR13828012	ERR13828013	ERR13828014	ERR13828015	ERR13828016	ERR13828017	ERR13828018	ERR13828019	ERR13828020	ERR13828021	ERR13828022	ERR13828023	ERR13828024	ERR13828025	ERR13828026	ERR13828027	ERR13828028	ERR13828029	ERR13828030	ERR13828031	ERR13828032	ERR13828033	ERR13828034	ERR13828035	ERR13828036	ERR13828037	ERR13828038	ERR13828039	ERR13828040	ERR13828041	ERR13828042	ERR13828043	ERR13828044	ERR13828045	ERR13828046	ERR13828047	ERR13828048	ERR13828049	ERR13828050	ERR13828051	ERR13828052	ERR13828053	ERR13828054	ERR13828055	ERR13828056	ERR13828057	ERR13828058	ERR13828059	ERR13828060	ERR13828061	ERR13828062	ERR13828063
Bacteroides	0.47486756915832845	0.3527004093041829	0.4094096061857021	0.3536056388939093	0.22144144144144143	0.17219287400247274	0.5011609434192839	0.5466781708369284	0.054064528630946615	0.3339407744874715	0.1716776374310621	0.3941096511101042	0.13879875982406806	0.18334849863512284	0.24341711549970077	0.11636700362682306	0.16059854190121217	0.22666666666666666	0.17265592730276746	0.08958068614993647	0.23173454805287602	0.13066776586974443	0.19836596496393347	0.1265290519877676	0.46606214161888254	0.1454891994917408	0.4432282113484409	0.3850846423669361	0.1341093117408907	0.20154577883472058	0.4015366322143968	0.32610594461285514	0.5059830936436491	0.19242902208201892	0.25	0	0.29715398766367274	0.4166457128488811	0.5942928039702233	0.40449180703563653	0.1552119129438717	0.5601096641535298	0.18063872255489022	0.4426803642306794	0.2655417406749556	0.40713166144200624	0.08327691266079891	0.24246474329431283	0	0.2520602023192697	0.13239929947460596	0.11353032659409021	0.2910958904109589	0.3519478348102324	0.03767292490118577	0.048503482462194894	0.035506460203175855	0.044305279175933514	0.06466512702078522	0.07745154758461094	0	0.0030821121190974647	0.09696287964004499	0.01733826754385965	0.011755587133445291	0	0.025995657475982273	0.17699285852152094	0.00765374459454288	0.006080158828638789	0.01669015651657889	0.013456923728414812	0.004974935439769102	0.01290095584354659	0	0	0.06036310017509907	0.03564433999216608	0.0360075064508562	0.1698005698005698	0.1605384519506419	0.21882528869319598	0.08310651424423879	0	0.19932479954986637	0.20582840839616873	0.05575765592962498	0.20025968837395125
Bifidobacterium	0	0	0	0	0.006216216216216216	0.011239743733842868	0.41512892582182576	0.1088869715271786	0.4279624067435326	0.5002277904328019	0.6479274150507027	0.10620752152242864	0.236426562837984	0.28862602365787077	0.0017953321364452424	0.07338529207500578	0.001923728535670955	0.05426356589147287	0.07228418009087154	0.11054637865311309	0.0014737406216505896	0.1170651277823578	0.0786839393493302	0.1357033639143731	0.006667555674089879	0.07750952986022872	0.006390154428732028	0.0036602104621015707	0.1341093117408907	0	0.01710418000548797	0.042747777834866156	0.0024517876093241115	0	0.09889705882352941	0	0	0.015715363339200403	0	0.3948092127878996	0.16259386534300624	0.051999086132053916	0	0	0.5515097690941385	0.0034482758620689655	0.04197698036560596	0	0	0.2840365161608685	0	0	0	0.01019896338404949	0.19725790513833993	0.11928217355838615	0.12979583785383175	0.10441296968278123	0.08423483651391758	0.06805033265837432	0.053629469122426866	0.1006629448709002	0.0640607424071991	0.035567434210526314	0.10450846143909055	0.2176500769625449	0.059665090270961604	9.650646593321753e-4	0.01530748918908576	0.1415808412954461	0.00875305986202804	0.0012233567025831647	0.0010253683730821813	0.012549111593268047	0.15129018307625774	0.08261947700631199	0.019353055017970695	0.054184619402010706	0.07342247243725077	0.0105982905982906	0	0.003489241505358478	0	0.2556399374581193	0.098138509870117685	0.10018341145302628	0.27607646008333886	0.15995805033959248
Blautia	0.24014125956444968	0.22471797943496058	0.17593866719087872	0.19817458883065245	0.13477477477477479	0.18511857929639206	0	0.07748058671268335	0	0	0	0.27603081105573174	0.293892854567741	0.3024567788898999	0.26810293237582283	0.32139825603827454	0.18630655051426948	0.38976744186046514	0.4118133002891367	0.21092757306226176	0.3268578063594141	0.3882934872217642	0.41005446783453553	0.375	0.21069475930124015	0.2355463786531131	0.3748298917223833	0.4273295714503584	0.39625506072874495	0.5594530321046374	0.3514131528400256	0.06905410265632225	0.08720313243312475	0.167192429022082	0.5161764705882353	0	0.26025321934855533	0.233844606487302	0.1588089330024814	0.031511401397960354	0.2377497772686776	0.11108064884624172	0.4305139720558882	0.39061405556852674	0.15008880994671403	0.11238244514106584	0.4245091401489506	0.39261683104433587	0.43059490084985835	0.1157660991857883	0.36777583187390545	0.4867807153965785	0	0.2339073733489383	0.2777915019762846	0.25832967308778315	0.269109379623237	0.2732646611260681	0.3543211377172724	0.33041654613827015	0.27579902491874325	0.2513375203535706	0.4074240719910011	0.19688870614035087	0.23388451104508462	0.25454079014879427	0.4757145831474376	0.18640223895000965	0.1289273276950748	0.14617198163543865	0.11868555745122765	0.09339857902413777	0.08271304876196263	0.12730897789245293	0.22574599971169093	0.3487376014427412	0.5795779190857986	0.445554249902076	0.5309054656345297	0.3391452991452992	0.4072042876729403	0.31577635623494227	0.5388616705981976	0.19745365199910656	0.36493646551319925	0.34126757693091503	0.3470798333223097	0.2545944866160607
Clostridioides	0.006474396703943496	0	0	0.01337429965660582	0	0	0.004888182818037394	0	0	0.01366742596810934	0	0	0	0	0	0.0844200941430666	0.0010493064740023392	0.06728682170542635	0	0.062261753494282084	0	0.03462489694971146	0	0	0	0.10530495552731893	0.00627181823560736	0.014107061156016471	0	0	0.006494100429891155	0.009145558238709346	0.0017199107110184068	0.012618296529968454	0	0	0	0.09014332411365351	0	0.00991176807608571	0.005472826778668703	0.026502170436371944	0	0	0	0.017789968652037618	0.16587677725118483	0	0	0.014655810510732791	0.1415061295971979	0	0.010273972602739725	0.006687844841999665	0.029335474308300396	0.03745999874505867	0.034816056810336324	0.06917944515977993	0.07566549167375713	0.07108764824992768	0.13996478873239437	0.1292742498255408	0.03790776152980877	0.25089089912280704	0.21747836196873788	0.119856336582863	0.02147467356711579	0.005983400887859486	0.002372660824308293	0.1949373371386028	0.0180253690379052	0.0049404789912012425	0.0024684794166793256	0.02093473289157333	0.13954158858296092	0.18248422001803427	0.07464749792645839	0.11424467946207077	0.04973023692235515	0.05675213675213675	0.06880219369313224	0.03813242502284622	0.01693582531905885	0.11938798302434667	0.07145871430580954	0.022335439168534747	0.01888352404259541	0.062025569316819816
Clostridium sensu stricto 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018751446870900534	7.651193039600389e-4	0	0	0	0	0	0	0	0	0	0	0.005109043770016776	0	0	0	0	0	0	0	0	0	0.012069399044505909	0	0	0	0.0057116746630111945	0	0	0	0	0	0	0	0	0	0	0	0	0.003273221343873518	0.008157118654702892	0.007791695433474702	0.002399625424324008	0.010696487176370487	0.005351460804165461	0.054374322860238355	0.061816701558501976	0.014960629921259842	0.12822094298245615	0.12291693579640874	0.062339661364802464	0.0023199785848130633	0.022486006562439684	6.122995675634305e-4	0.028787690780493858	0.009346487649284177	0.006399096598127323	0.0015950174692389487	0.01589163197091421	0.02565950699149488	0.017019837691614068	0.02009031425675053	0.02239195717456587	0.016596293689889748	0.07487179487179488	0.04075782126386639	0.0343108748026917	0	0	0.01205045247807943	0	0.005886632713803823	0.009089093088294047
Collinsella	0	0	0	0	0.01900900900900901	0.013824884792626729	0.03776121226933887	0.108541846419327	0.08235636081775022	0.12801822323462414	0.15317559153175592	0.02908926144086996	0.025885067416540487	0.07434030937215651	0.02573309395571514	0.11366617794582916	0.008416312343560429	0.04062015503875969	0.013630731102850062	0.08386277001270648	0.039835655591282604	0.016075845012366034	0.009715883998233475	0.008027522935779817	0.026803573809841313	0.035419313850063534	0.0447310810011242	0.04857404300747293	0	0	0.02414707765480655	0.05292092688691363	0.0064405167050902035	0	0.009926470588235294	0	0.015258088951412185	0.013200905204928337	0	0.1157900767732325	0.03340969835815197	0.027416038382453736	0.008857285429141716	0.006770954938127481	0.03285968028419183	0.01677115987460815	0.027758970886932972	0.07106645773804038	0.0708215297450425	0.0542314335060449	0.0287215411558669	0.03265940902021773	0	0.011369336231399432	0.06719367588932806	0.0926774173307398	0.058634973863300126	0.09604354442233408	0.12434666342530691	0.075209719409892975	0.04665492957746479	0.09571993486857408	0.05416197975253093	0.06798245614035088	0.05703397493863842	0.11056952283222166	0.11638559233812201	0.005790387955993051	0.016723431939076192	0.27112544980766845	0.029745567836213932	0.023902507881240296	0.012950022785963846	0.04503606403565355	0.22315121810580943	0.1602795311091073	0.03317666574509262	0.04295599947773861	0.05459770114942529	0.07977207977207977	0	0.016366204203705242	0.06163430714328918	0	0.021615792188305904	0.009252088852659466	0.026754414974535352	0.02751697962445066
Escherichia-Shigella	0	0	0	0	0	0	0.041060735671514116	0.019327006039689388	0.005813390175370603	0	0.0051592243373065295	0.03180788400543724	0.03021126252794001	0.018016378525932665	0.1696588868940754	0.012578131028628751	1.8581468810458088e-4	0.046511627906976744	0.03965303593556382	0	0.04689174705251876	0.09480626545754328	0.21684086559693802	0.18157492354740062	0.14428590478730496	0.0349428208386277	0	0.017309745310355347	0.021761133603238867	0.06004756242568371	0.003201317113326626	0.16164003493808765	0	0.10410094637223975	0.01213235294117647	0.37541870651893844	0.2324964830646034	0	0	0.026240403345937895	0.1826396843578974	0.013525245602010509	0.25711077844311375	0	0	0	0	0.18457922389160292	0	0.006415001233654083	0.12049036777583187	0	0	0.001337568968399933	4.323122529644269e-4	7.529647988956516e-4	0.004290363941217083	0	0.013066731493861675	0.00809950824414232	0.0010157096424702058	0.001977204000930449	0	0.013774671052631578	0.0032295569047926624	0.007029245767060031	0.021653133458255258	0.5293862188766647	0.08197160460755425	0.05385283533937213	0.06490616423114012	0.3740648379052369	0.12190490657754822	0.2690435700463262	0.010883667291336312	0.004283137962128043	0.011980462630172335	0.0014362188275231754	0.005336617405582923	0.00547008547008547	0.0636918858282438	0.06953559857107253	0.02957720921792778	0.007817735090462363	0.0027195573685938014	0	0	0.003595685177786656
Pseudobutyrivibrio	0.009064155385520894	0.008285913946291305	0.00878055173317607	0	0.005675675675675676	0	0	0	0	0	0	0	0	0	0	0	0.0029511744581315787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017982839233417253	0.0021224430050865444	0	0	0	0.01325614111026945	0.007543374402816193	0	0	0	0.0021475896732922094	0.02844311377245509	0	0	0.010736677115987461	0	0.01092266568347313	0	0	0	0	0	0.01582789945939921	0.01840415019762846	0.026353767961347807	0.026580530624321926	0.02159662881891607	0.032454114501033186	0.014391090540931444	0.024851029252437703	0.021284019539427775	0.008942632170978628	0.016584429824561403	0.027580415966929336	0.008004104669061056	8.328128253175099e-4	0.0036189924724956573	0.0023343921013355786	0.029656284898870826	0.013945553000519249	0.007528348938973322	0.007557344675679781	0.01331144080220489	0.01751477583970016	0.022317403065825067	0.03474334162749977	0.015537276406841624	0.04193056532958011	0.07339031339031339	0.01246416552411816	0.03148625072692531	0.035988628803000064	0	0.015098232287710414	0.028123089464030977	0.021760698458892783	0.018278066320415502
Roseburia	0.20400235432607416	0.22911051212938005	0.10104187143699626	0.1258810771733237	0.07720720720720721	0.13869843767562098	0	0	0	0	0	0.15913004077933846	0.23599394332684404	0.07879890809827116	0.2841113105924596	0.23543483293464001	0.04004853042442261	0.17488372093023255	0.28376703841387857	0.2789072426937738	0.07784030010718114	0.1640560593569662	0.07978801707640218	0.1731651376146789	0.12388318442458994	0.26286531130876745	0.11738950357966985	0.08990391947536984	0.31376518218623484	0.1789536266349584	0.1708588676484039	0.07681241329702512	0.033483368097486005	0	0.10845588235294118	0	0.12888215561086463	0.2108373145587126	0	0	0.06554664630266005	0.1920950422663925	0.0592564870259481	0.15993462526266636	0	0.08699059561128526	0.25660121868652674	0.08802654622545857	0.4985835694050991	0	0.12924693520140104	0.12286158631415241	0.6986301369863014	0.08510282561444575	0.36863883399209485	0.402773420342599	0.4204556662392741	0.35836357251550977	0.2223775373769296	0.3491466589528493	0.39781960996749727	0.3348453128634566	0.3147919010123735	0.2727521929824561	0.2216121948068725	0.2103129810159056	0.25115255346360904	0.06837483111368461	0.1722092533772148	0.10857426479712123	0.2720866404569394	0.148920152449066	0.32743430047090993	0.25098223186536095	0.1742828311950411	0.17335437330928766	0.16606764353515804	0.2491186839012926	0.19147314098053014	0.18381766381766382	0.21463293032531472	0.24266843897981225	0.21339139902014154	0.085995085995086	0.21465747643831762	0.29300998573466475	0.24780078047489915	0.2544446664003196
Roseibacillus	0.04002354326074161	0.07637017070979335	0.20883297293755324	0.07762515814205675	0.2254054054054054	0.17444082274924133	0	0.10163934426229508	0.4228272454219552	0.024145785876993165	0.012987012987012988	0.0036248300860897147	0.009157112985795659	0.054413102820746136	0.00718132854578097	0.023998765336831547	0.5977549213566659	0	0.006195786864931847	0.07369758576874205	0.2753662022150768	0.05441055234954658	0	0	0	0.10292249047013977	0.0050884563043606884	0	0	0	0	0.08976005754508555	0.13034727558824605	0	0.004411764705882353	0.6245812934810616	0.004166215777513256	0	0	0.017245330583247395	0.1573755886470663	0.009412839844642449	0	0	0	0.04827586206896552	0	8.295695455802378e-4	0	0.27283493708364176	0	0.24416796267496113	0	0.09034163740734548	0	0	0.005178025446296479	0	0.010027956727847332	7.954874168354065e-4	0.004739978331527627	0	0	0	0	0.00969728065674705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009846690764053347	0.017113898811996344	0	0.28132678132678135	0	0	0	0
