name	ERR13827976	ERR13827977	ERR13827978	ERR13827979	ERR13827983	ERR13827990	ERR13827993	ERR13827998	ERR13828004	ERR13828005	ERR13828010	ERR13828016	ERR13828019	ERR13828022	ERR13828023	ERR13828025	ERR13828026	ERR13828027	ERR13828028	ERR13828032	ERR13828035	ERR13828036	ERR13828043	ERR13828045	ERR13828047	ERR13828050	ERR13828052	ERR13828056	ERR13828059	ERR13828060	ERR13828061	ERR13827980	ERR13827986	ERR13827987	ERR13827994	ERR13827995	ERR13827981	ERR13827996	ERR13827982	ERR13827984	ERR13827997	ERR13827985	ERR13827988	ERR13828003	ERR13827989	ERR13828006	ERR13827991	ERR13828007	ERR13827992	ERR13828009	ERR13827999	ERR13828011	ERR13828000	ERR13828013	ERR13828001	ERR13828030	ERR13828002	ERR13828034	ERR13828046	ERR13828008	ERR13828048	ERR13828053	ERR13828012	ERR13828058	ERR13828014	ERR13828015	ERR13828017	ERR13828018	ERR13828020	ERR13828021	ERR13828024	ERR13828029	ERR13828031	ERR13828033	ERR13828037	ERR13828038	ERR13828039	ERR13828040	ERR13828041	ERR13828042	ERR13828044	ERR13828049	ERR13828051	ERR13828054	ERR13828055	ERR13828057	ERR13828062	ERR13828063
Actinobacteriota	0	0	0	0	1260	184	306	1201	265	0	296	3080	29	103	1542	6855	82	21	0	3821	1981	1481	140	3326	534	5195	570	0	2289	2554	2685	280	4503	1493	208	306	223	925	3706	5267	323	2758	3638	685	3989	451	2424	1862	946	0	376	0	251	230	711	4282	864	3432	519	243	368	1488	282	1019	0	8912	1738	71	658	258	25	387	3378	3425	3377	2102	1511	2501	6397	5919	837	982	2155	2183	793	239	9157	3754
Bacteroidota	4034	3533	6248	3913	3168	1627	731	2695	265	339	680	2439	1896	123	5261	5108	378	73	85	720	1071	0	3668	49	286	0	655	1288	0	4251	5050	2458	965	4349	418	141	1532	5189	4101	558	317	1466	1925	5050	2015	4390	1508	6347	14693	61	331	0	3495	3314	916	610	7491	1064	225	13827	131	546	5492	1374	479	7060	12258	1448	299	5195	0	6315	773	757	53	1724	253	182	0	874	200	220	0	614	1490	2634	1686	4010
Firmicutes	10187	15631	11791	15354	7531	6813	4365	9887	1611	2146	2443	5502	4026	2844	21388	14944	3762	1696	1185	36582	25728	38065	10323	5866	18195	15817	21727	20258	4076	25087	37745	12351	11422	9764	4117	1674	14495	16136	59	8355	3017	3138	14941	15073	5300	11554	14986	8924	45845	270	3123	0	6187	11714	9477	26221	17219	28524	16109	24678	29223	25585	18806	29958	1103	19111	22842	9243	975	20859	597	26420	29688	31563	32237	32791	41317	34826	32146	33261	27698	16753	10658	24716	17894	19682	43560	27113
Proteobacteria	0	0	0	0	112	1134	150	2946	43	101	33	2870	0	0	4005	130	344	0	0	87	112	15	10971	434	7950	151	130	511	70	58	0	0	29	351	96	0	0	1050	336	60	230	0	419	227	198	35	163	3146	17	33	475	1457	1082	0	220	7	0	215	875	0	3210	22	4297	489	0	458	296	2061	0	0	0	24	12	0	34	0	201	50	137	728	2142	4588	38	91	48	837	0	72
Verrucomicrobiota	340	765	3187	859	589	48	0	0	0	0	12	2473	0	0	18	5529	0	157	0	105	11	70	0	0	0	0	0	79	2519	0	0	2502	73	40	15	116	1552	6166	0	4364	132	106	127	0	598	0	311	1747	54688	0	0	2424	0	0	648	0	86	165	0	3562	0	0	77	0	0	301	206	0	0	616	0	1621	0	0	0	0	0	0	189	0	0	0	0	0	0	206	0	0
